framework;platform;app;time;cpu_method_time_initAnimationWidgets;ram_MB
flutter;android;animation;5022;2.73;60.7
flutter;android;animation;5025;1.43;57.3
flutter;android;animation;5025;4.63;57.7
flutter;android;animation;4961;4.23;58.7
flutter;android;animation;5033;2.63;59.7
flutter;android;animation;5019;1.79;58.7
flutter;android;animation;5030;2.93;57.7
flutter;android;animation;5037;3.73;56.2
flutter;android;animation;5026;1.79;57.2
flutter;android;animation;4942;2.23;56.7
flutter;android;animation;5019;3.43;57.2

framework;platform;app;time;cpu_method_cpu_percent;ram_MB
flutter;ios;animation;5005, 56, 120
flutter;ios;animation;5013, 62, 113
flutter;ios;animation;5009, 55, 115
flutter;ios;animation;5017, 57, 116
flutter;ios;animation;5017, 53, 114
flutter;ios;animation;5004, 56, 111
flutter;ios;animation;5015, 60, 121
flutter;ios;animation;5011, 51, 118
flutter;ios;animation;5014, 59, 113
flutter;ios;animation;5012, 57, 110


framework;platform;app;time;cpu_method_time_findPrimesInRange;ram_MB
flutter;android;calculations;902;1.65;57.5
flutter;android;calculations;960;2.39;56.6
flutter;android;calculations;934;2.34;55.0
flutter;android;calculations;940;1.54;56.4
flutter;android;calculations;912;2.23;54.7
flutter;android;calculations;902;1.65;56.1
flutter;android;calculations;911;2.40;55.2
flutter;android;calculations;938;2.54;55.8
flutter;android;calculations;912;2.75;55.9
flutter;android;calculations;910;2.02;54.9


framework;platform;app;time;cpu_method_time_fetchLocation;ram_MB
flutter;android;gps;1408;3.31;56.2
flutter;android;gps;1445;2.62;54.4
flutter;android;gps;4112;6.73;56.6
flutter;android;gps;1425;11.71;56.3
flutter;android;gps;1402;9.78;55.9
flutter;android;gps;1445;2.86;59.1
flutter;android;gps;4083;6.58;59.2
flutter;android;gps;4285;8.04;57.7
flutter;android;gps;4040;6.22;57.2
flutter;android;gps;1231;9.04;57.2


framework;platform;app;time;cpu_method_time_LoadAndPlayVideo;ram_MB
flutter;android;video;287;10.97;64.0
flutter;android;video;295;16.92;65.0
flutter;android;video;284;3.92;63.5
flutter;android;video;274;14.93;64.3
flutter;android;video;264;26.91;64.5
flutter;android;video;256;5.80;64.5
flutter;android;video;271;39.23;64.0
flutter;android;video;268;41.04;64.3
flutter;android;video;247;15.78;64.5
flutter;android;video;238;19.01;64.5

